,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Free Cash Flow,13563000000.0,16466000000.0,11197000000.0,12846000000.0,11739000000.0,
Repurchase Of Capital Stock,0.0,-8818000000.0,-6299000000.0,-15008000000.0,-5942000000.0,
Repayment Of Debt,-411000000.0,-944000000.0,-299000000.0,-315000000.0,-307000000.0,
Issuance Of Debt,0.0,10432000000.0,,,0.0,0.0
Capital Expenditure,-14425000000.0,-8258000000.0,-8173000000.0,-6400000000.0,-7665000000.0,
Interest Paid Supplemental Data,130000000.0,111000000.0,124000000.0,121000000.0,146000000.0,
Income Tax Paid Supplemental Data,2228000000.0,1767000000.0,5929000000.0,630000000.0,4591000000.0,
End Cash Position,45438000000.0,45127000000.0,33026000000.0,33284000000.0,42827000000.0,
Beginning Cash Position,45127000000.0,33026000000.0,33284000000.0,42827000000.0,37900000000.0,
Effect Of Exchange Rate Changes,-714000000.0,368000000.0,-152000000.0,-288000000.0,396000000.0,
Changes In Cash,1025000000.0,11733000000.0,-106000000.0,-9255000000.0,4531000000.0,
Financing Cash Flow,-5465000000.0,-4371000000.0,-11178000000.0,-19767000000.0,-8401000000.0,
Cash Flow From Continuing Financing Activities,-5465000000.0,-4371000000.0,-11178000000.0,-19767000000.0,-8401000000.0,
Net Other Financing Charges,-3784000000.0,-3778000000.0,-3314000000.0,-3171000000.0,-2152000000.0,
Cash Dividends Paid,-1270000000.0,-1263000000.0,-1266000000.0,-1273000000.0,,0.0
Common Stock Dividend Paid,-1270000000.0,-1263000000.0,-1266000000.0,-1273000000.0,,0.0
Net Common Stock Issuance,0.0,-8818000000.0,-6299000000.0,-15008000000.0,-5942000000.0,
Common Stock Payments,0.0,-8818000000.0,-6299000000.0,-15008000000.0,-5942000000.0,
Net Issuance Payments Of Debt,-411000000.0,9488000000.0,-299000000.0,-315000000.0,-307000000.0,
Net Long Term Debt Issuance,-411000000.0,9488000000.0,-299000000.0,-315000000.0,-307000000.0,
Long Term Debt Payments,-411000000.0,-944000000.0,-299000000.0,-315000000.0,-307000000.0,
Long Term Debt Issuance,0.0,10432000000.0,,,0.0,0.0
Investing Cash Flow,-21498000000.0,-8620000000.0,-8298000000.0,-8734000000.0,-6472000000.0,
Cash Flow From Continuing Investing Activities,-21498000000.0,-8620000000.0,-8298000000.0,-8734000000.0,-6472000000.0,
Net Other Investing Changes,17000000.0,124000000.0,,,-3000000.0,-10000000.0
Net Investment Purchase And Sale,-7081000000.0,-354000000.0,-56000000.0,-2262000000.0,1187000000.0,
Sale Of Investment,3817000000.0,4114000000.0,3233000000.0,4625000000.0,2359000000.0,
Purchase Of Investment,-10898000000.0,-4468000000.0,-3289000000.0,-6887000000.0,-1172000000.0,
Net Business Purchase And Sale,-9000000.0,-132000000.0,-57000000.0,-72000000.0,-64000000.0,
Purchase Of Business,-9000000.0,-132000000.0,-57000000.0,-72000000.0,-64000000.0,
Net PPE Purchase And Sale,-14425000000.0,-8258000000.0,-8173000000.0,-6400000000.0,-7592000000.0,
Sale Of PPE,,,,,73000000.0,47000000.0
Purchase Of PPE,-14425000000.0,-8258000000.0,-8173000000.0,-6400000000.0,-7665000000.0,
Operating Cash Flow,27988000000.0,24724000000.0,19370000000.0,19246000000.0,19404000000.0,
Cash Flow From Continuing Operating Activities,27988000000.0,24724000000.0,19370000000.0,19246000000.0,19404000000.0,
Change In Working Capital,-504000000.0,2070000000.0,-741000000.0,223000000.0,-1271000000.0,
Change In Other Current Liabilities,1114000000.0,901000000.0,707000000.0,83000000.0,663000000.0,
Change In Other Current Assets,-200000000.0,-29000000.0,53000000.0,-94000000.0,-111000000.0,
Change In Payables And Accrued Expense,2090000000.0,1239000000.0,-247000000.0,-2386000000.0,320000000.0,
Change In Accrued Expense,1522000000.0,572000000.0,-497000000.0,-1274000000.0,-350000000.0,
Change In Payable,568000000.0,667000000.0,250000000.0,-1112000000.0,670000000.0,
Change In Account Payable,568000000.0,667000000.0,250000000.0,-1112000000.0,594000000.0,
Change In Prepaid Assets,-530000000.0,-184000000.0,-84000000.0,100000000.0,700000000.0,
Change In Receivables,-2978000000.0,143000000.0,-1170000000.0,2520000000.0,-2843000000.0,
Changes In Account Receivables,-2978000000.0,143000000.0,-1170000000.0,2520000000.0,-2843000000.0,
Other Non Cash Items,169000000.0,-11000000.0,-5000000.0,-66000000.0,133000000.0,
Stock Based Compensation,4262000000.0,4250000000.0,4616000000.0,3562000000.0,3424000000.0,
Asset Impairment Charge,95000000.0,8000000.0,40000000.0,240000000.0,1090000000.0,
Deferred Tax,-1332000000.0,-1308000000.0,-1642000000.0,-456000000.0,-1161000000.0,
Deferred Income Tax,-1332000000.0,-1308000000.0,-1642000000.0,-456000000.0,-1161000000.0,
Depreciation Amortization Depletion,4460000000.0,4027000000.0,3637000000.0,3374000000.0,3172000000.0,
Depreciation And Amortization,4460000000.0,4027000000.0,3637000000.0,3374000000.0,3172000000.0,
Net Income From Continuing Operations,20838000000.0,15688000000.0,13465000000.0,12369000000.0,14017000000.0,
