Company                                 Proposed        Score
01.AI                                   T                0.40
ABB Ltd                                 ABBNY            1.00
ACM Research                            ACMR             0.88
ACMR                                    ACM              0.67
ADI                                     ADT              0.67
AI21 Labs                               ZLAB             0.59
AIChip                                  ALCO             0.57
AMD                                     LMMY             0.57
AMEC                                    AMGN             0.67
ARM Limited                             CSXXY            0.65
ASE                                     SAP              0.75
ASE Group                               ASPU             0.76
